OBJECTID,YearReported,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,LocaleDistrict,LocaleSchools,AssemblyCA,SenateCA,CongressUS,DateUpdated,UpdateNotes,YearData,RecordType,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,MRcount,MRpct,PIcount,PIpct,WHcount,WHpct,NRcount,NRpct,UPcount,UPpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,FRPMcount,FRPMpct,AssistStatus,ELATested,ELAStdMetPct,MathTested,MathStdMetPct,CCPrepCohortCount,CCPrepPct,AbsentEligCount,AbsentPct,GradCohortCount,GradPct,UCCSUReqMetPct,DropOutPct,EnrollCumulative,SuspPct,Shape__Area,Shape__Length
1,2018-19,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified School District,KG,12,KG,12,21,"11, 21",18,09,13,2015-06-23T00:00:00.000Z,,1718,D,11299,1796,9502,861,7.6,28,0.2,2975,26.3,743,6.6,1895,16.8,1233,10.9,74,0.7,3268,28.9,222,2,3437,36.2,1457,15.3,17,0.2,68,0.7,0,0,,,2840,29.9,Differentiated Assistance,4647,68.1,4670,60.3,822,56.6,11489,9.5,909,91.4,63.3,3.5,11644,2.9,63341139.2539063,42843.013073621
2,2018-19,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified School District,KG,12,KG,12,21,21,15,09,13,2015-06-23T00:00:00.000Z,,1718,D,3658,0,3658,105,2.9,2,0.1,1006,27.5,49,1.3,607,16.6,503,13.8,7,0.2,1209,33.1,170,4.6,1085,29.7,574,15.7,2,0.1,6,0.2,0,0,,,739,20.2,General Assistance,1922,76,1943,69.7,292,66.8,3753,6.1,290,92.4,65.3,3.1,3802,2.1,11866192.25,16073.4254595141
3,2018-19,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified School District,KG,12,KG,12,12,12,15,09,13,2017-05-09T00:00:00.000Z,,1718,D,10340,531,9809,1570,15.2,16,0.2,733,7.1,72,0.7,2512,24.3,1420,13.7,19,0.2,3992,38.6,6,0.1,3510,35.8,876,8.9,30,0.3,286,2.9,0,0,,,3211,32.7,Differentiated Assistance,4812,65.6,4784,59.5,826,51.5,10517,9.6,920,86.1,65.9,11,10613,1.9,53022979.359375,39778.9549768115
4,2018-19,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified School District,KG,12,KG,12,21,21,"18,20","07,09,10","13,15",2015-06-23T00:00:00.000Z,,1718,D,9312,,9299,525,5.6,21,0.2,2463,26.4,424,4.6,2201,23.6,905,9.7,38,0.4,2588,27.8,147,1.6,2752,29.6,950,10.2,15,0.2,11,0.1,0,0,,,2249,24.2,Differentiated Assistance,4770,66.9,4782,61.7,782,52.2,9483,7.4,783,95,34.9,2.4,9552,2.7,290856020.023438,125802.751196463
5,2018-19,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified School District,KG,12,KG,12,21,"11, 21",15,09,13,2015-07-30T00:00:00.000Z,,1718,D,690,0,690,305,44.2,2,0.3,82,11.9,9,1.3,169,24.5,47,6.8,9,1.3,67,9.7,0,0,552,80,150,21.7,1,0.1,23,3.3,0,0,,,524,75.9,Differentiated Assistance,340,28.2,340,20.6,37,13.5,727,19.5,37,94.6,28.6,2.7,748,4.3,8565947.09375,13854.0765278081
6,2018-19,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified School District,KG,12,KG,12,21,21,"20,25",10,"15,17",2017-07-07T00:00:00.000Z,,1718,D,35777,347,35430,729,2,86,0.2,22548,63,1875,5.2,5189,14.5,1051,2.9,199,0.6,4042,11.3,58,0.2,10001,28.2,5354,15.1,31,0.1,238,0.7,70,0.2,,,6549,18.5,General Assistance,18349,76.9,18448,73.1,2571,70.9,36609,5.4,2645,93.5,65.3,2.1,37034,1.7,339594192.09375,143848.092722367
7,2018-19,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified School District,KG,12,KG,12,12,"12, 21",20,10,15,2017-08-30T00:00:00.000Z,,1718,D,22734,2296,20429,1983,8.7,70,0.3,1762,7.8,1651,7.3,14588,64.2,713,3.1,716,3.1,1208,5.3,43,0.2,15884,77.8,6263,30.7,88,0.4,722,3.5,428,2.1,,,13984,68.5,Differentiated Assistance,10630,37.1,10678,25.9,1396,28.4,23506,14.1,1669,82.4,44.9,11.4,23937,4.3,137870390.625,71682.6133500537
8,2018-19,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified School District,KG,12,KG,12,23,23,"14,16,20",07,"11,15",2015-06-23T00:00:00.000Z,,1718,D,13765,,13727,205,1.5,39,0.3,1091,7.9,399,2.9,4245,30.8,1117,8.1,40,0.3,6611,48,18,0.1,3945,28.7,1721,12.5,19,0.1,62,0.5,230,1.7,,,3435,25,Differentiated Assistance,6985,62.3,6996,51,1101,55.5,14069,6.1,1130,92.7,45.6,4.6,14205,2.7,1096133655.32422,209576.2894444
9,2018-19,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary School District,KG,08,KG,08,41,41,16,07,15,2017-01-25T00:00:00.000Z,,1718,D,20,0,20,0,0,1,5,0,0,0,0,6,30,1,5,5,25,7,35,0,0,17,85,6,30,0,0,0,0,0,0,,,16,80,General Assistance,13,46.2,13,7.7,,,25,36,,,,,25,0,114224232.769531,53384.9256714481
10,2018-19,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified School District,KG,12,KG,12,21,21,25,10,17,2015-10-09T00:00:00.000Z,,1718,D,5913,,5894,221,3.7,11,0.2,830,14,497,8.4,3184,53.8,250,4.2,112,1.9,767,13,41,0.7,3344,56.7,1327,22.5,6,0.1,299,5.1,91,1.5,,,2984,50.6,Differentiated Assistance,2977,44,2991,36.6,473,37.2,6077,15.8,482,87.6,32.9,8.5,6163,4.2,57609682.9648438,39073.2947662726
