BRAND NAME,INDICATION,WOMEN,WHITE,BLACK OR AFRICAN AMERICAN,ASIAN,"ALL OTHER (Aggregated):
American Indian or Alaska Native (AI/AN), Native Hawaiian or Other Pacific Islander (NH/OPI), Unknown/Unreported",HISPANIC OR LATINO (2017 AND LATER ONLY),UNITED STATES (2017 ONLY),"AGE
65 and OLDER","AGE
75 and OLDER","AGE
80 and OLDER",YEAR,NOTES
ADDYI,"Treatment of acquired, generalized hypoactive sexual desire disorder (HSDD) in premenopausal women",100%,89%,8%,1%,2%,,,0%,0%,0%,2015,
ALECENSA,For the treatment of metastatic non-small cell lung cancer,55%,74%,2%,18%,7%,,,14%,4%,<1%,2015,
ARISTADA,Treatment of schizophrenia,32%,47%,40%,13%,<1%,,,0%,0%,0%,2015,
AVYCAZ,Treatment of complicated intra-abdominal infection (abbreviated as cIAI),26%,60%,<1%,27%,12%,,,11%,8%,4%,2015,
AVYCAZ,Treatment of complicated urinary tract infection (abbreviated as cUTI),74%,60%,5%,10%,25%,,,17%,4%,3%,2015,
BRIDION,For the reversal of the effects of certain neuromuscular blocking agents,52%,84%,3%,12%,<1%,,,29%,<1%,<1%,2015,
CHOLBAM,For treatment of bile acid synthesis disorders due to single enzyme defects,43%,61%,11%,7%,20%,,,N/A,N/A,N/A,2015,
CHOLBAM,"For treatment of peroxisomal disorders, including Zellweger spectrum disorders",33%,83%,0%,0%,17%,,,N/A,N/A,N/A,2015,
CORLANOR,To reduce hospitalization from worsening heart failure.,24%,89%,1%,8%,2%,,,38%,11%,3%,2015,
COSENTYX,Treatment of moderate to severe plaque psoriasis in adults who do not respond well to medication applied directly to the skin,30%,68%,1%,22%,9%,,,8%,1%,<1%,2015,
COTELLIC,Part of combination treatment melanoma,42%,93%,N/A,N/A,7%,,,27%,9%,3%,2015,
CRESEMBA,Treatment of invasive aspergillosis,40%,78%,<1%,21%,<1%,,,24%,5%,<1%,2015,
CRESEMBA,Treatment of invasive mucormycosis,19%,68%,11%,22%,0%,,,14%,8%,0%,2015,
DAKLINZA,Treatment of chronic Hepatitis C genotype 3 infection,41%,90%,4%,5%,1%,,,7%,0%,0%,2015,
DARZALEX,Treatment of multiple myeloma,46%,76%,10%,6%,8%,,,45%,10%,3%,2015,
EMPLICITI,Treatment of multiple myeloma,40%,84%,4%,10%,2%,,,57%,20%,7%,2015,
ENTRESTO,Treatment of heart failure,22%,66%,5%,18%,11%,,,49%,19%,7%,2015,
FARYDAK,Treatment of multiple myeloma,48%,63%,3%,33%,1%,,,35%,5%,0%,2015,
GENVOYA†,Complete regimen for the treatment of HIV-1 in adults and children 12 years of age and older.,48%,0%,83%,17%,0%,,,0%,0%,0%,2015,
GENVOYA‡,Complete regimen for the treatment of HIV-1 in adults and children 12 years of age and older.,13%,61%,23%,9%,7%,,,3%,<1%,<1%,2015,
IBRANCE,"Treatment of a specific form of advanced breast cancer called ER-positive, HER2-negative (ER+/HER-) breast cancer in women who have gone through menopause (post-menopausal)",100%,90%,1%,6%,3%,,,46%,9%,3%,2015,
KANUMA(i),Treatment of Lysosomal Acid Lipase (LAL) deficiency,44%,44%,11%,11%,33%,,,0%,0%,0%,2015,
KANUMA(ii),Treatment of Lysosomal Acid Lipase (LAL) deficiency,50%,83%,2%,5%,11%,,,0%,0%,0%,2015,
KENGREAL,For prevention of coronary artery blood clot formation in patients undergoing PCI,28%,94%,3%,3%,<1%,,,48%,18%,8%,2015,
KYBELLA,Treatment for double chin,85%,87%,8%,2%,3%,,,1%,0%,0%,2015,
LENVIMA,"Treatment of progressive, differentiated thyroid cancer (DTC) that can no longer be treated with radioactive iodine",49%,79%,2%,18%,<1%,,,40%,10%,4%,2015,
LONSURF,Treatment of advanced colorectal cancer,39%,58%,1%,35%,7%,,,44%,8%,1%,2015,
NATPARA,For control of hypocalcemia along with calcium and vitamin D in adults with hypoparathyroidism,79%,96%,<1%,2%,2%,,,6%,<1%,<1%,2015,
NINLARO,Treatment of multiple myeloma,43%,85%,2%,9%,5%,,,58%,2%,<1%,2015,
NUCALA,For the treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),59%,85%,3%,11%,<1%,,,9%,10%,3%,2015,
ODOMZO,Treatment of locally advanced basal cell carcinoma,37%,94%,<1%,0%,6%,,,54%,34%,23%,2015,
ORKAMBI,Treatment of cystic fibrosis,49%,99%,0%,0%,1%,,,0%,0%,0%,2015,
PORTRAZZA,For the treatment of metastatic squamous non-small cell lung cancer,17%,84%,1%,8%,8%,,,39%,4%,1%,2015,
PRALUENT,Treatment of certain patients with high cholesterol,40%,90%,4%,3%,3%,,,32%,6%,<1%,2015,
PRAXBIND,Reversal of the anticoagulant effects of Pradaxa during emergency situations or when there is a need to reverse its blood-thinning effects.,47%,85%,<1%,7%,7%,,,90%,60%,44%,2015,
REPATHA††,Treatment of certain patients with high cholesterol,50%,84%,5%,9%,2%,,,28%,3%,<1%,2015,
REPATHA‡‡,Treatment of certain patients with high cholesterol,49%,90%,0%,4%,6%,,,0%,0%,0%,2015,
REXULTI,Treatment of schizophrenia,37%,63%,24%,7%,6%,,,<1%,0%,0%,2015,
REXULTI,Treatment of major depressive disorder,69%,85%,12%,<1%,2%,,,<1%,0%,0%,2015,
SAVAYSA,Reduction of risk of venous thromboembolism (VTE) in patients with previous VTE,43%,70%,4%,21%,5%,,,33%,13%,6%,2015,
SAVAYSA,Prevention of stroke in patients with atrial fibrillation,38%,81%,1%,14%,4%,,,74%,40%,17%,2015,
