unitid,year,gender,race,cohort,grad_cohort,grad_100,grad_150,grad_100_rate,grad_150_rate
243744,2002,B,X,"4y bach",1607,1239,1487,77.1,92.5
243744,2002,M,X,"4y bach",809,604,732,74.7,90.5
243744,2002,F,X,"4y bach",798,635,755,79.6,94.6
243744,2002,B,W,"4y bach",843,671,789,79.6,93.6
243744,2002,M,W,"4y bach",434,334,396,77.0,91.2
243744,2002,F,W,"4y bach",409,337,393,82.4,96.1
243744,2002,B,B,"4y bach",125,73,109,58.4,87.2
243744,2002,M,B,"4y bach",56,27,45,48.2,80.4
243744,2002,F,B,"4y bach",69,46,64,66.7,92.8
243744,2002,B,A,"4y bach",371,304,354,81.9,95.4
243744,2002,M,A,"4y bach",175,144,165,82.3,94.3
243744,2002,F,A,"4y bach",196,160,189,81.6,96.4
243744,2002,B,H,"4y bach",171,121,153,70.8,89.5
243744,2002,M,H,"4y bach",90,56,78,62.2,86.7
243744,2002,F,H,"4y bach",81,65,75,80.2,92.6
243744,2002,B,Ai,"4y bach",25,8,13,32.0,52.0
243744,2002,M,Ai,"4y bach",10,4,4,40.0,40.0
243744,2002,F,Ai,"4y bach",15,4,9,26.7,60.0
243744,2002,B,X,"4y other",,,,,
243744,2002,M,X,"4y other",,,,,
243744,2002,F,X,"4y other",,,,,
243744,2002,B,W,"4y other",,,,,
243744,2002,M,W,"4y other",,,,,
243744,2002,F,W,"4y other",,,,,
243744,2002,B,B,"4y other",,,,,
243744,2002,M,B,"4y other",,,,,
243744,2002,F,B,"4y other",,,,,
243744,2002,B,A,"4y other",,,,,
243744,2002,M,A,"4y other",,,,,
243744,2002,F,A,"4y other",,,,,
243744,2002,B,H,"4y other",,,,,
243744,2002,M,H,"4y other",,,,,
243744,2002,F,H,"4y other",,,,,
243744,2002,B,Ai,"4y other",,,,,
243744,2002,M,Ai,"4y other",,,,,
243744,2002,F,Ai,"4y other",,,,,
243744,2003,B,X,"4y bach",1647,1276,1550,77.5,94.1
243744,2003,M,X,"4y bach",824,605,764,73.4,92.7
243744,2003,F,X,"4y bach",823,671,786,81.5,95.5
243744,2003,B,W,"4y bach",830,646,789,77.8,95.1
243744,2003,M,W,"4y bach",428,316,403,73.8,94.2
243744,2003,F,W,"4y bach",402,330,386,82.1,96.0
243744,2003,B,B,"4y bach",148,103,130,69.6,87.8
243744,2003,M,B,"4y bach",66,41,55,62.1,83.3
243744,2003,F,B,"4y bach",82,62,75,75.6,91.5
243744,2003,B,A,"4y bach",404,332,387,82.2,95.8
243744,2003,M,A,"4y bach",191,147,179,77.0,93.7
243744,2003,F,A,"4y bach",213,185,208,86.9,97.7
243744,2003,B,H,"4y bach",172,131,160,76.2,93.0
243744,2003,M,H,"4y bach",82,55,75,67.1,91.5
243744,2003,F,H,"4y bach",90,76,85,84.4,94.4
243744,2003,B,Ai,"4y bach",18,3,13,16.7,72.2
243744,2003,M,Ai,"4y bach",7,1,4,14.3,57.1
243744,2003,F,Ai,"4y bach",11,2,9,18.2,81.8
243744,2003,B,X,"4y other",,,,,
243744,2003,M,X,"4y other",,,,,
243744,2003,F,X,"4y other",,,,,
243744,2003,B,W,"4y other",,,,,
243744,2003,M,W,"4y other",,,,,
243744,2003,F,W,"4y other",,,,,
243744,2003,B,B,"4y other",,,,,
243744,2003,M,B,"4y other",,,,,
243744,2003,F,B,"4y other",,,,,
243744,2003,B,A,"4y other",,,,,
243744,2003,M,A,"4y other",,,,,
243744,2003,F,A,"4y other",,,,,
243744,2003,B,H,"4y other",,,,,
243744,2003,M,H,"4y other",,,,,
243744,2003,F,H,"4y other",,,,,
243744,2003,B,Ai,"4y other",,,,,
243744,2003,M,Ai,"4y other",,,,,
243744,2003,F,Ai,"4y other",,,,,
243744,2004,B,X,"4y bach",1606,1268,1531,79.0,95.3
243744,2004,M,X,"4y bach",814,613,772,75.3,94.8
243744,2004,F,X,"4y bach",792,655,759,82.7,95.8
243744,2004,B,W,"4y bach",854,670,816,78.5,95.6
243744,2004,M,W,"4y bach",464,351,442,75.6,95.3
243744,2004,F,W,"4y bach",390,319,374,81.8,95.9
243744,2004,B,B,"4y bach",129,91,119,70.5,92.2
243744,2004,M,B,"4y bach",54,28,48,51.9,88.9
243744,2004,F,B,"4y bach",75,63,71,84.0,94.7
243744,2004,B,A,"4y bach",369,312,362,84.6,98.1
243744,2004,M,A,"4y bach",164,133,160,81.1,97.6
243744,2004,F,A,"4y bach",205,179,202,87.3,98.5
243744,2004,B,H,"4y bach",165,126,154,76.4,93.3
243744,2004,M,H,"4y bach",85,65,81,76.5,95.3
243744,2004,F,H,"4y bach",80,61,73,76.3,91.3
243744,2004,B,Ai,"4y bach",18,10,12,55.6,66.7
243744,2004,M,Ai,"4y bach",7,1,2,14.3,28.6
243744,2004,F,Ai,"4y bach",11,9,10,81.8,90.9
243744,2004,B,X,"4y other",,,,,
243744,2004,M,X,"4y other",,,,,
243744,2004,F,X,"4y other",,,,,
243744,2004,B,W,"4y other",,,,,
243744,2004,M,W,"4y other",,,,,
243744,2004,F,W,"4y other",,,,,
243744,2004,B,B,"4y other",,,,,
243744,2004,M,B,"4y other",,,,,
243744,2004,F,B,"4y other",,,,,
243744,2004,B,A,"4y other",,,,,
243744,2004,M,A,"4y other",,,,,
243744,2004,F,A,"4y other",,,,,
243744,2004,B,H,"4y other",,,,,
243744,2004,M,H,"4y other",,,,,
243744,2004,F,H,"4y other",,,,,
243744,2004,B,Ai,"4y other",,,,,
243744,2004,M,Ai,"4y other",,,,,
243744,2004,F,Ai,"4y other",,,,,
243744,2005,B,X,"4y bach",1749,1330,1644,76.0,94.0
243744,2005,M,X,"4y bach",890,643,836,72.2,93.9
243744,2005,F,X,"4y bach",859,687,808,80.0,94.1
243744,2005,B,W,"4y bach",895,667,848,74.5,94.7
243744,2005,M,W,"4y bach",489,348,466,71.2,95.3
243744,2005,F,W,"4y bach",406,319,382,78.6,94.1
243744,2005,B,B,"4y bach",146,112,135,76.7,92.5
243744,2005,M,B,"4y bach",71,48,63,67.6,88.7
243744,2005,F,B,"4y bach",75,64,72,85.3,96.0
243744,2005,B,A,"4y bach",422,341,403,80.8,95.5
243744,2005,M,A,"4y bach",183,143,175,78.1,95.6
243744,2005,F,A,"4y bach",239,198,228,82.8,95.4
243744,2005,B,H,"4y bach",170,118,149,69.4,87.6
243744,2005,M,H,"4y bach",78,50,67,64.1,85.9
243744,2005,F,H,"4y bach",92,68,82,73.9,89.1
243744,2005,B,Ai,"4y bach",29,21,24,72.4,82.8
243744,2005,M,Ai,"4y bach",10,8,8,80.0,80.0
243744,2005,F,Ai,"4y bach",19,13,16,68.4,84.2
243744,2005,B,X,"4y other",,,,,
243744,2005,M,X,"4y other",,,,,
243744,2005,F,X,"4y other",,,,,
243744,2005,B,W,"4y other",,,,,
243744,2005,M,W,"4y other",,,,,
243744,2005,F,W,"4y other",,,,,
243744,2005,B,B,"4y other",,,,,
243744,2005,M,B,"4y other",,,,,
243744,2005,F,B,"4y other",,,,,
243744,2005,B,A,"4y other",,,,,
243744,2005,M,A,"4y other",,,,,
243744,2005,F,A,"4y other",,,,,
243744,2005,B,H,"4y other",,,,,
243744,2005,M,H,"4y other",,,,,
243744,2005,F,H,"4y other",,,,,
243744,2005,B,Ai,"4y other",,,,,
243744,2005,M,Ai,"4y other",,,,,
243744,2005,F,Ai,"4y other",,,,,
243744,2006,B,X,"4y bach",1598,1222,1521,76.5,95.2
243744,2006,M,X,"4y bach",768,572,726,74.5,94.5
243744,2006,F,X,"4y bach",830,650,795,78.3,95.8
243744,2006,B,W,"4y bach",772,578,735,74.9,95.2
243744,2006,M,W,"4y bach",381,281,362,73.8,95.0
243744,2006,F,W,"4y bach",391,297,373,76.0,95.4
243744,2006,B,B,"4y bach",125,85,111,68.0,88.8
243744,2006,M,B,"4y bach",57,35,48,61.4,84.2
243744,2006,F,B,"4y bach",68,50,63,73.5,92.6
243744,2006,B,A,"4y bach",422,349,408,82.7,96.7
243744,2006,M,A,"4y bach",199,163,192,81.9,96.5
243744,2006,F,A,"4y bach",223,186,216,83.4,96.9
243744,2006,B,H,"4y bach",166,134,160,80.7,96.4
243744,2006,M,H,"4y bach",74,55,71,74.3,95.9
243744,2006,F,H,"4y bach",92,79,89,85.9,96.7
243744,2006,B,Ai,"4y bach",28,16,26,57.1,92.9
243744,2006,M,Ai,"4y bach",16,11,14,68.8,87.5
243744,2006,F,Ai,"4y bach",12,5,12,41.7,100.0
243744,2006,B,X,"4y other",,,,,
243744,2006,M,X,"4y other",,,,,
243744,2006,F,X,"4y other",,,,,
243744,2006,B,W,"4y other",,,,,
243744,2006,M,W,"4y other",,,,,
243744,2006,F,W,"4y other",,,,,
243744,2006,B,B,"4y other",,,,,
243744,2006,M,B,"4y other",,,,,
243744,2006,F,B,"4y other",,,,,
243744,2006,B,A,"4y other",,,,,
243744,2006,M,A,"4y other",,,,,
243744,2006,F,A,"4y other",,,,,
243744,2006,B,H,"4y other",,,,,
243744,2006,M,H,"4y other",,,,,
243744,2006,F,H,"4y other",,,,,
243744,2006,B,Ai,"4y other",,,,,
243744,2006,M,Ai,"4y other",,,,,
243744,2006,F,Ai,"4y other",,,,,
243744,2007,B,X,"4y bach",1615,1286,1538,79.6,95.2
243744,2007,M,X,"4y bach",810,624,763,77.0,94.2
243744,2007,F,X,"4y bach",805,662,775,82.2,96.3
243744,2007,B,W,"4y bach",703,561,671,79.8,95.4
243744,2007,M,W,"4y bach",362,281,341,77.6,94.2
243744,2007,F,W,"4y bach",341,280,330,82.1,96.8
243744,2007,B,B,"4y bach",166,124,153,74.7,92.2
243744,2007,M,B,"4y bach",75,44,66,58.7,88.0
243744,2007,F,B,"4y bach",91,80,87,87.9,95.6
243744,2007,B,A,"4y bach",388,311,374,80.2,96.4
243744,2007,M,A,"4y bach",194,153,185,78.9,95.4
243744,2007,F,A,"4y bach",194,158,189,81.4,97.4
243744,2007,B,H,"4y bach",190,149,179,78.4,94.2
243744,2007,M,H,"4y bach",92,70,87,76.1,94.6
243744,2007,F,H,"4y bach",98,79,92,80.6,93.9
243744,2007,B,Ai,"4y bach",30,23,26,76.7,86.7
243744,2007,M,Ai,"4y bach",11,10,10,90.9,90.9
243744,2007,F,Ai,"4y bach",19,13,16,68.4,84.2
243744,2007,B,X,"4y other",,,,,
243744,2007,M,X,"4y other",,,,,
243744,2007,F,X,"4y other",,,,,
243744,2007,B,W,"4y other",,,,,
243744,2007,M,W,"4y other",,,,,
243744,2007,F,W,"4y other",,,,,
