Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Admitted
1,337,118,4,4.5,4.5,3.89,1,Yes
2,324,107,4,4.0,4.5,3.58,1,Yes
3,316,104,3,3.0,3.5,3.23,1,No
4,322,110,3,3.5,2.5,3.5,1,Yes
5,314,103,2,2.0,3.0,3.31,0,No
6,330,115,5,4.5,3.0,3.77,1,Yes
7,321,109,3,3.0,4.0,3.31,1,Yes
8,308,101,2,3.0,4.0,3.19,0,No
9,302,102,1,2.0,1.5,3.23,0,No
10,323,108,3,3.5,3.0,3.47,0,No
11,325,106,3,3.5,4.0,3.39,1,No
12,327,111,4,4.0,4.5,3.63,1,Yes
13,328,112,4,4.0,4.5,3.67,1,Yes
14,307,109,3,4.0,3.0,3.23,1,No
15,311,104,3,3.5,2.0,3.31,1,No
16,314,105,3,3.5,2.5,3.35,0,No
17,317,107,3,4.0,3.0,3.51,0,No
18,319,106,3,4.0,3.0,3.23,1,No
19,318,110,3,4.0,3.0,3.55,0,No
20,303,102,3,3.5,3.0,3.43,0,No
21,312,107,3,3.0,2.0,3.19,1,No
22,325,114,4,3.0,2.0,3.39,0,No
23,328,116,5,5.0,5.0,3.83,1,Yes
24,334,119,5,5.0,4.5,3.91,1,Yes
25,336,119,5,4.0,3.5,3.95,1,Yes
26,340,120,5,4.5,4.5,3.87,1,Yes
27,322,109,5,4.5,3.5,3.55,0,Yes
28,298,98,2,1.5,2.5,3.02,1,No
29,295,93,1,2.0,2.0,2.9,0,No
30,310,99,2,1.5,2.0,2.94,0,No
31,300,97,2,3.0,3.0,3.27,1,No
32,327,103,3,4.0,4.0,3.35,1,Yes
33,338,118,4,3.0,4.5,3.79,1,Yes
34,340,114,5,4.0,4.0,3.87,1,Yes
35,331,112,5,4.0,5.0,3.95,1,Yes
36,320,110,5,5.0,5.0,3.71,1,Yes
37,299,106,2,4.0,4.0,3.39,0,No
38,300,105,1,1.0,2.0,3.15,0,No
39,304,105,1,3.0,1.5,3.02,0,No
40,307,108,2,4.0,3.5,3.1,0,No
41,308,110,3,3.5,3.0,3.23,1,No
42,316,105,2,2.5,2.5,3.31,1,No
43,313,107,2,2.5,2.0,3.43,1,No
44,332,117,4,4.5,4.0,3.67,0,Yes
45,326,113,5,4.5,4.0,3.79,1,Yes
46,322,110,5,5.0,4.0,3.67,1,Yes
47,329,114,5,4.0,5.0,3.75,1,Yes
48,339,119,5,4.5,4.0,3.91,0,Yes
49,321,110,3,3.5,5.0,3.57,1,Yes
50,327,111,4,3.0,4.0,3.39,1,Yes
51,313,98,3,2.5,4.5,3.35,1,Yes
52,312,100,2,1.5,3.5,3.19,1,No
53,334,116,4,4.0,3.0,3.23,1,Yes
54,324,112,4,4.0,2.5,3.27,1,No
55,322,110,3,3.0,3.5,3.23,0,No
56,320,103,3,3.0,3.0,3.1,0,No
57,316,102,3,2.0,3.0,2.98,0,No
58,298,99,2,4.0,2.0,3.06,0,No
59,300,99,1,3.0,2.0,2.74,1,No
60,311,104,2,2.0,2.0,3.35,0,No
61,309,100,2,3.0,3.0,3.27,0,No
62,307,101,3,4.0,3.0,3.31,0,No
63,304,105,2,3.0,3.0,3.31,1,No
64,315,107,2,4.0,3.0,3.43,1,No
65,325,111,3,3.0,3.5,3.51,0,No
66,325,112,4,3.5,3.5,3.6,0,No
67,327,114,3,3.0,3.0,3.64,0,No
68,316,107,2,3.5,3.5,3.48,1,No
69,318,109,3,3.5,4.0,3.72,1,No
70,328,115,4,4.5,4.0,3.69,1,Yes
71,332,118,5,5.0,5.0,3.89,1,Yes
72,336,112,5,5.0,5.0,3.94,1,Yes
73,321,111,5,5.0,5.0,3.81,1,Yes
74,314,108,4,4.5,4.0,3.65,1,Yes
75,314,106,3,3.0,5.0,3.59,0,Yes
76,329,114,2,2.0,4.0,3.45,1,No
77,327,112,3,3.0,3.0,3.52,1,Yes
78,301,99,2,3.0,2.0,3.31,0,No
79,296,95,2,3.0,2.0,3.04,1,No
80,294,93,1,1.5,2.0,2.97,0,No
81,312,105,3,2.0,3.0,3.23,1,No
82,340,120,4,5.0,5.0,3.83,1,Yes
83,320,110,5,5.0,4.5,3.72,1,Yes
84,322,115,5,4.0,4.5,3.77,1,Yes
85,340,115,5,4.5,4.5,3.81,1,Yes
86,319,103,4,4.5,3.5,3.49,0,Yes
87,315,106,3,4.5,3.5,3.4,0,No
88,317,107,2,3.5,3.0,3.34,0,No
89,314,108,3,4.5,3.5,3.28,0,No
90,316,109,4,4.5,3.5,3.53,1,Yes
91,318,106,2,4.0,4.0,3.19,1,No
92,299,97,3,5.0,3.5,3.09,0,No
93,298,98,2,4.0,3.0,3.24,0,No
94,301,97,2,3.0,3.0,3.18,1,No
95,303,99,3,2.0,2.5,3.09,0,No
96,304,100,4,1.5,2.5,3.16,0,No
97,306,100,2,3.0,3.0,3.23,0,No
98,331,120,3,4.0,4.0,3.61,1,Yes
99,332,119,4,5.0,4.5,3.73,1,Yes
100,323,113,3,4.0,4.0,3.58,1,Yes
101,322,107,3,3.5,3.5,3.41,1,No
102,312,105,2,2.5,3.0,3.27,0,No
103,314,106,2,4.0,3.5,3.33,0,No
104,317,104,2,4.5,4.0,3.42,0,No
105,326,112,3,3.5,3.0,3.65,1,Yes
106,316,110,3,4.0,4.5,3.54,1,No
107,329,111,4,4.5,4.5,3.7,1,Yes
108,338,117,4,3.5,4.5,3.81,1,Yes
109,331,116,5,5.0,5.0,3.78,1,Yes
110,304,103,5,5.0,4.0,3.48,0,No
111,305,108,5,3.0,3.0,3.42,0,No
112,321,109,4,4.0,4.0,3.5,1,No
113,301,107,3,3.5,3.5,3.36,1,No
114,320,110,2,4.0,3.5,3.45,0,No
115,311,105,3,3.5,3.0,3.41,1,No
116,310,106,4,4.5,4.5,3.65,1,No
117,299,102,3,4.0,3.5,3.48,0,No
118,290,104,4,2.0,2.5,3.01,0,No
119,296,99,2,3.0,3.5,2.94,0,No
120,327,104,5,3.0,3.5,3.56,1,No
121,335,117,5,5.0,5.0,3.85,1,Yes
122,334,119,5,4.5,4.5,3.82,1,Yes
123,310,106,4,1.5,2.5,3.37,0,No
124,308,108,3,3.5,3.5,3.31,0,No
125,301,106,4,2.5,3.0,3.42,0,No
126,300,100,3,2.0,3.0,3.49,1,No
127,323,113,3,4.0,3.0,3.76,1,Yes
128,319,112,3,2.5,2.0,3.51,1,Yes
129,326,112,3,3.5,3.0,3.67,1,Yes
130,333,118,5,5.0,5.0,3.77,1,Yes
131,339,114,5,4.0,4.5,3.94,1,Yes
132,303,105,5,5.0,4.5,3.49,0,Yes
133,309,105,5,3.5,3.5,3.45,0,No
134,323,112,5,4.0,4.5,3.54,0,Yes
135,333,113,5,4.0,4.0,3.74,1,Yes
136,314,109,4,3.5,4.0,3.54,1,Yes
137,312,103,3,5.0,4.0,3.41,0,Yes
138,316,100,2,1.5,3.0,3.29,1,No
139,326,116,2,4.5,3.0,3.66,1,Yes
140,318,109,1,3.5,3.5,3.68,0,Yes
141,329,110,2,4.0,3.0,3.69,1,Yes
142,332,118,2,4.5,3.5,3.77,1,Yes
143,331,115,5,4.0,3.5,3.81,1,Yes
144,340,120,4,4.5,4.0,4.0,1,Yes
145,325,112,2,3.0,3.5,3.61,1,Yes
146,320,113,2,2.0,2.5,3.48,1,Yes
147,315,105,3,2.0,2.5,3.42,0,Yes
148,326,114,3,3.0,3.0,3.67,1,Yes
149,339,116,4,4.0,3.5,3.95,1,Yes
150,311,106,2,3.5,3.0,3.33,1,Yes
151,334,114,4,4.0,4.0,3.8,1,Yes
152,332,116,5,5.0,5.0,3.74,1,Yes
153,321,112,5,5.0,5.0,3.65,1,Yes
154,324,105,3,3.0,4.0,3.53,0,Yes
155,326,108,3,3.0,3.5,3.58,0,Yes
156,312,109,3,3.0,3.0,3.5,0,Yes
157,315,105,3,2.0,2.5,3.36,0,No
158,309,104,2,2.0,2.5,3.33,0,No
159,306,106,2,2.0,2.5,3.28,0,No
160,297,100,1,1.5,2.0,3.19,0,No
161,315,103,1,1.5,2.0,3.17,0,No
162,298,99,1,1.5,3.0,3.01,0,No
163,318,109,3,3.0,3.0,3.43,0,No
164,317,105,3,3.5,3.0,3.45,0,No
165,329,111,4,4.5,4.0,3.63,1,Yes
166,322,110,5,4.5,4.0,3.62,0,Yes
167,302,102,3,3.5,5.0,3.36,0,No
168,313,102,3,2.0,3.0,3.33,0,No
169,293,97,2,2.0,4.0,3.15,1,No
170,311,99,2,2.5,3.0,3.22,0,No
171,312,101,2,2.5,3.5,3.24,1,No
172,334,117,5,4.0,4.5,3.66,1,Yes
173,322,110,4,4.0,5.0,3.68,1,Yes
174,323,113,4,4.0,4.5,3.72,1,Yes
175,321,111,4,4.0,4.0,3.62,1,Yes
176,320,111,4,4.5,3.5,3.58,1,Yes
177,329,119,4,4.5,4.5,3.69,1,Yes
178,319,110,3,3.5,3.5,3.65,0,Yes
179,309,108,3,2.5,3.0,3.27,0,No
180,307,102,3,3.0,3.0,3.33,0,No
181,300,104,3,3.5,3.0,3.29,0,No
182,305,107,2,2.5,2.5,3.4,0,No
183,299,100,2,3.0,3.5,3.18,0,No
184,314,110,3,4.0,4.0,3.55,0,Yes
185,316,106,2,2.5,4.0,3.35,0,No
186,327,113,4,4.5,4.5,3.67,1,Yes
187,317,107,3,3.5,3.0,3.5,1,Yes
188,335,118,5,4.5,3.5,3.81,1,Yes
189,331,115,5,4.5,3.5,3.77,1,Yes
190,324,112,5,5.0,5.0,3.66,1,Yes
191,324,111,5,4.5,4.0,3.69,1,Yes
192,323,110,5,4.0,5.0,3.62,1,Yes
193,322,114,5,4.5,4.0,3.6,1,Yes
194,336,118,5,4.5,5.0,3.84,1,Yes
195,316,109,3,3.5,3.0,3.53,0,Yes
196,307,107,2,3.0,3.5,3.44,1,Yes
197,306,105,2,3.0,2.5,3.33,0,No
198,310,106,2,3.5,2.5,3.36,0,No
199,311,104,3,4.5,4.5,3.4,0,No
200,313,107,3,4.0,4.5,3.5,0,No
201,317,103,3,2.5,3.0,3.44,1,No
202,315,110,2,3.5,3.0,3.41,1,No
203,340,120,5,4.5,4.5,4.0,1,Yes
204,334,120,5,4.0,5.0,3.98,1,Yes
205,298,105,3,3.5,4.0,3.44,0,No
206,295,99,2,2.5,3.0,3.08,0,No
207,315,99,2,3.5,3.0,3.18,0,No
208,310,102,3,3.5,4.0,3.23,1,No
209,305,106,2,3.0,3.0,3.29,0,No
210,301,104,3,3.5,4.0,3.27,1,No
211,325,108,4,4.5,4.0,3.65,1,Yes
212,328,110,4,5.0,4.0,3.69,1,Yes
213,338,120,4,5.0,5.0,3.9,1,Yes
214,333,119,5,5.0,4.5,3.94,1,Yes
215,331,117,4,4.5,5.0,3.8,1,Yes
216,330,116,5,5.0,4.5,3.77,1,Yes
217,322,112,4,4.5,4.5,3.73,1,Yes
218,321,109,4,4.0,4.0,3.68,1,Yes
219,324,110,4,3.0,3.5,3.62,1,Yes
220,312,104,3,3.5,3.5,3.4,0,Yes
221,313,103,3,4.0,4.0,3.53,0,Yes
222,316,110,3,3.5,4.0,3.45,0,Yes
223,324,113,4,4.5,4.0,3.54,0,Yes
