age,gender,education,Neuroticism,Extroversion,Openness,Agreeableness,Conscientiousness,Impulsiveness,Sensation Seeking,alcohol_use,cannabis_use,chocolate_use,coke_use,crack_use,nicotine_use
25-34,male,doctorate degree,ave,high,high,ave,ave,ave,ave,1,1,1,1,0,1
35-44,male,prof. certificate,ave,ave,ave,low,low,low,ave,1,1,1,0,0,0
18-24,female,masters degree,ave,ave,ave,ave,ave,low,low,1,1,1,1,0,1
35-44,female,doctorate degree,ave,low,ave,ave,high,ave,ave,1,1,1,0,0,1
65+,female,left before 19,ave,ave,low,high,high,low,low,1,0,1,0,0,1
45-54,male,masters degree,ave,low,ave,ave,ave,ave,ave,1,0,1,0,0,1
35-44,male,left before 19,low,high,ave,ave,high,ave,ave,1,0,1,0,0,0
35-44,female,prof. certificate,ave,high,ave,ave,high,low,low,1,0,1,0,0,1
55-64,male,masters degree,ave,ave,low,ave,ave,low,ave,1,0,1,0,0,1
25-34,female,college degree,low,ave,low,ave,high,ave,ave,1,1,1,1,0,1
45-54,male,some college,low,ave,ave,low,ave,ave,high,1,1,1,1,0,1
55-64,female,college degree,high,ave,ave,low,ave,high,ave,1,1,1,0,0,1
55-64,female,prof. certificate,ave,ave,ave,ave,high,ave,ave,0,0,0,0,0,0
55-64,female,prof. certificate,ave,high,ave,ave,high,high,ave,1,0,1,0,0,1
55-64,male,college degree,low,low,low,low,high,ave,ave,1,0,1,1,0,0
35-44,female,some college,low,ave,low,ave,ave,ave,low,1,1,1,0,0,1
45-54,male,left before 19,ave,low,ave,ave,low,low,ave,1,1,1,0,0,1
55-64,male,college degree,high,ave,ave,low,low,ave,ave,1,1,1,1,0,0
35-44,male,prof. certificate,ave,low,low,low,ave,low,low,1,0,1,0,0,0
45-54,male,prof. certificate,ave,ave,ave,high,low,ave,ave,1,1,1,0,0,1
65+,male,left before 19,low,ave,low,ave,high,ave,low,1,0,1,0,0,0
45-54,male,college degree,ave,ave,ave,high,ave,ave,ave,1,0,1,0,0,0
45-54,male,left before 19,high,low,low,ave,low,low,low,1,1,1,1,0,1
55-64,male,college degree,ave,ave,high,ave,high,ave,ave,1,0,1,0,0,1
45-54,male,some college,ave,ave,low,ave,ave,ave,ave,1,0,1,1,0,0
55-64,female,left before 19,ave,low,low,ave,ave,ave,low,1,0,1,0,0,1
35-44,male,college degree,ave,low,ave,ave,low,high,ave,1,1,1,0,0,1
35-44,female,masters degree,ave,low,ave,ave,high,ave,ave,1,0,1,0,0,0
45-54,male,doctorate degree,low,high,ave,ave,high,ave,ave,0,0,1,0,0,0
45-54,male,left before 19,ave,ave,low,low,ave,low,ave,1,1,1,0,0,1
35-44,female,left before 19,low,ave,ave,ave,ave,low,ave,1,0,1,0,0,0
35-44,male,college degree,ave,low,ave,ave,ave,ave,ave,1,1,1,0,0,1
18-24,male,college degree,ave,ave,ave,high,ave,ave,low,1,0,1,0,0,0
35-44,male,college degree,high,ave,ave,low,ave,ave,high,1,1,1,1,0,1
65+,male,left before 19,ave,ave,low,ave,ave,ave,low,1,0,1,0,0,1
35-44,male,college degree,ave,ave,ave,ave,low,ave,ave,1,0,1,0,0,0
55-64,male,left before 19,ave,ave,high,ave,ave,ave,ave,1,1,1,0,0,1
45-54,male,college degree,low,high,ave,ave,ave,ave,ave,1,0,1,0,0,0
65+,female,prof. certificate,ave,ave,low,ave,ave,low,ave,1,0,1,0,0,0
35-44,male,masters degree,ave,ave,ave,low,ave,ave,ave,1,0,1,0,0,0
35-44,female,college degree,ave,ave,high,high,ave,ave,ave,1,0,1,0,0,0
35-44,male,masters degree,ave,ave,low,ave,ave,ave,ave,1,1,1,1,0,0
35-44,male,prof. certificate,ave,ave,ave,ave,low,ave,ave,1,1,1,1,0,1
25-34,male,college degree,low,high,ave,high,ave,ave,ave,1,0,1,0,0,1
25-34,female,college degree,ave,ave,high,ave,high,low,low,1,0,1,0,0,0
45-54,female,some college,ave,ave,low,ave,high,ave,ave,1,0,1,0,0,1
45-54,male,masters degree,low,ave,ave,ave,high,low,low,1,0,1,0,0,0
45-54,male,left before 19,ave,ave,ave,ave,ave,ave,ave,1,1,1,0,0,1
25-34,female,masters degree,ave,ave,low,ave,ave,ave,high,1,0,1,0,0,1
35-44,male,masters degree,high,ave,ave,low,ave,ave,ave,1,1,1,1,0,1
45-54,male,prof. certificate,high,ave,ave,ave,low,high,high,1,1,1,0,0,1
55-64,female,college degree,ave,ave,low,ave,ave,ave,low,1,0,1,0,0,0
45-54,male,masters degree,low,ave,high,ave,ave,ave,ave,1,0,1,0,0,0
55-64,male,left before 19,ave,high,ave,low,low,high,high,1,1,1,1,0,0
55-64,female,prof. certificate,ave,ave,low,ave,ave,low,low,1,0,1,0,0,0
35-44,female,some college,ave,ave,low,ave,ave,low,low,1,0,1,0,0,0
25-34,female,college degree,ave,ave,low,ave,ave,ave,ave,0,0,1,0,0,0
45-54,male,left before 19,ave,ave,ave,ave,ave,high,high,1,1,1,1,1,1
45-54,male,college degree,ave,low,low,low,ave,low,low,1,0,1,0,0,0
25-34,female,doctorate degree,high,ave,ave,ave,ave,low,ave,1,0,1,0,0,0
45-54,male,masters degree,low,high,high,ave,high,low,low,1,0,1,0,0,0
25-34,male,college degree,ave,low,low,low,ave,low,low,1,0,1,0,0,1
45-54,male,college degree,high,ave,ave,ave,ave,low,low,1,0,1,0,0,0
45-54,male,doctorate degree,low,ave,high,ave,ave,low,ave,1,1,1,1,0,0
35-44,male,some college,ave,ave,ave,high,ave,ave,ave,1,0,1,0,0,0
45-54,male,left before 19,low,ave,low,high,ave,ave,low,1,0,1,0,0,0
25-34,male,masters degree,ave,ave,high,ave,ave,ave,ave,1,1,1,0,0,1
35-44,male,prof. certificate,ave,ave,ave,ave,ave,ave,ave,1,1,1,1,0,0
45-54,female,left before 19,ave,ave,low,ave,ave,low,ave,1,0,1,0,0,0
25-34,male,some college,ave,ave,ave,low,ave,ave,ave,1,1,1,1,0,1
45-54,female,left before 19,ave,high,ave,high,ave,low,ave,1,0,1,0,0,1
45-54,male,left before 19,low,ave,ave,ave,ave,ave,ave,1,0,1,0,0,1
45-54,male,prof. certificate,ave,ave,ave,ave,high,ave,ave,1,0,1,0,0,0
65+,female,left before 19,low,low,low,low,ave,ave,low,1,0,1,0,0,0
25-34,male,college degree,ave,ave,low,ave,ave,ave,ave,1,0,1,0,0,0
45-54,female,left before 19,ave,ave,low,ave,ave,low,low,1,0,1,0,0,1
35-44,male,college degree,ave,low,ave,low,ave,ave,low,1,1,1,0,0,1
35-44,male,some college,ave,ave,low,low,low,low,low,1,0,1,0,0,1
35-44,male,prof. certificate,ave,ave,low,high,ave,ave,ave,1,0,1,0,0,0
65+,female,doctorate degree,ave,ave,ave,ave,high,ave,ave,1,0,1,0,0,0
55-64,female,college degree,ave,low,ave,ave,ave,ave,ave,1,1,1,0,0,0
55-64,male,masters degree,low,high,ave,ave,high,ave,low,1,0,1,0,0,0
55-64,female,left before 19,high,ave,low,high,low,ave,ave,1,0,1,0,0,1
45-54,male,left before 19,ave,ave,ave,ave,ave,low,ave,1,1,1,0,0,0
25-34,female,left before 19,ave,ave,low,ave,ave,ave,high,1,0,1,0,0,1
35-44,male,some college,ave,ave,low,ave,ave,ave,ave,1,0,1,0,0,1
55-64,male,left before 19,ave,ave,ave,ave,ave,ave,ave,1,0,1,0,0,0
